(202101,1,'2021',1,'01/30/21'),
(202102,2,'2021',1,'02/06/21'),
(202103,3,'2021',1,'02/13/21'),
(202104,4,'2021',1,'02/20/21'),
(202105,5,'2021',2,'02/27/21'),
(202106,6,'2021',2,'03/06/21'),
(202107,7,'2021',2,'03/13/21'),
(202108,8,'2021',2,'03/20/21'),
(202109,9,'2021',2,'03/27/21'),
(202110,10,'2021',3,'04/03/21'),
(202111,11,'2021',3,'04/10/21'),
(202112,12,'2021',3,'04/17/21'),
(202113,13,'2021',3,'04/24/21'),
(202114,14,'2021',4,'05/01/21'),
(202115,15,'2021',4,'05/08/21'),
(202116,16,'2021',4,'05/15/21'),
(202117,17,'2021',4,'05/22/21'),
(202118,18,'2021',5,'05/29/21'),
(202119,19,'2021',5,'06/05/21'),
(202120,20,'2021',5,'06/12/21'),
(202121,21,'2021',5,'06/19/21'),
(202122,22,'2021',5,'06/26/21'),
(202123,23,'2021',6,'07/03/21'),
(202124,24,'2021',6,'07/10/21'),
(202125,25,'2021',6,'07/17/21'),
(202126,26,'2021',6,'07/24/21'),
(202127,27,'2021',7,'07/31/21'),
(202128,28,'2021',7,'08/07/21'),
(202129,29,'2021',7,'08/14/21'),
(202130,30,'2021',7,'08/21/21'),
(202131,31,'2021',8,'08/28/21'),
(202132,32,'2021',8,'09/04/21'),
(202133,33,'2021',8,'09/11/21'),
(202134,34,'2021',8,'09/18/21'),
(202135,35,'2021',8,'09/25/21'),
(202136,36,'2021',9,'10/02/21'),
(202137,37,'2021',9,'10/09/21'),
(202138,38,'2021',9,'10/16/21'),
(202139,39,'2021',9,'10/23/21'),
(202140,40,'2021',10,'10/30/21'),
(202141,41,'2021',10,'11/06/21'),
(202142,42,'2021',10,'11/13/21'),
(202143,43,'2021',10,'11/20/21'),
(202144,44,'2021',11,'11/27/21'),
(202145,45,'2021',11,'12/04/21'),
(202146,46,'2021',11,'12/11/21'),
(202147,47,'2021',11,'12/18/21'),
(202148,48,'2021',11,'12/25/21'),
(202149,49,'2021',12,'01/01/22'),
(202150,50,'2021',12,'01/08/22'),
(202151,51,'2021',12,'01/15/22'),
(202152,52,'2021',12,'01/22/22');
